TITLE,COUNTRY,BODY,Website Link
"Ghana Elections - Ethnicity Is Not Allowed in the Country's Politics, Yet It Still Helps Shape Outcomes",ghana,"Ghana, which has more than 70 ethnic groups, has been among the   in Africa since 1992. It has achieved this by outlawing the use of ethnicity in party politics. The   bars the explicit use of social identities in party politics. That includes ethnic group names, symbols, colours, or artefacts. Yet, Ghanaian politics is not completely devoid of ethnicity. Political scientist   explains why this matters as Ghana prepares for another election in December. Ethnicity has had a disruptive effect on Ghana since colonial times. The British used ethnicity to advance their  . Kwame Nkrumah, the country's first postcolonial leader, inherited this and   Asante   over whether newly independent Ghana should be a federal or unitary state. A federal state would have given more autonomy to dominant chieftaincies and ethnic groups like the  . Nkrumah didn't want this. The unitary model won. However, the development of the unitary state was complicated by vulnerabilities associated with multiple social identities and socioeconomic decay. Ghana's   since 1966 were all mediated by some degree of ethnic grievances. Ghana has nine major ethnic groups. The biggest are Akans, inclusive of Asantes (47.5%), Mole-Dagbanli (16.6%), and Ewe (13.9%). There is religious diversity too.   form two-thirds of the total population. There are also   (17.6%),   (5.2%) and   (5.2%). Successive governments, both democratic and military, have taken steps to curb the crisis of ethnicity in public life. For instance, Nkrumah dissolved ethnic and regional political parties through the   in 1956. The country's military leader from 1972 to 1978,  , banned ethnic symbols or expressions from official documents. The 1992 constitution, currently in use, followed suit. The de-ethnicisation of party politics in 1992 was accompanied by the removal of party politics and ethnicity from the local government level. This meant that officials were elected to administer cities and local authorities without considerations of political party affiliation. I   this innovation and its significance for political stability. My findings confirm that ethnicity has widely been tamed in Ghanaian politics. Fourteen of the country's 16 regions have narrower margins of voting or have swing constituencies. The Ashanti and Volta regions are the exceptions. They comprise about a quarter of the voting population;   of residents in the Ashanti and Volta regions are Asantes and Ewes respectively. Since 1992, the Asantes have voted consistently for the  . Ewes, meanwhile, have voted for the  . These two parties have won every election since the country returned to democratic rule. I interrogated several possible explanations for this ethnic voting pattern. These include the backgrounds of party candidates, ownership of political parties and allocation of resources to strongholds. I also checked tensions between in-group and national identity (citizenship). And I assessed prejudices among the Asantes and Ewes. None, by itself, offers an adequate explanation. Ethnicity still influences electoral outcomes in Ghana. However, this happens on a limited scale and is to be expected in a multi-ethnic society. In silencing ethnic voices in party politics, the 1992 constitution introduced several alternative avenues for multi-ethnic self-expression. These include establishing locally led local government authorities and leaving customary land governance to chiefs and families. These avenues provide options for local (and ethnically homogeneous) communities to make decisions on their development. They can also participate in local politics without explicitly referencing party politics. The effect is that, while there are some elements of ethnicity in party politics, most Ghanaians do not see national elections as a zero sum game. Local assembly elections are also peaceful compared to national, party-driven elections. Together with other socioeconomic factors, ethnicity will continue to influence party politics in Ghana. This includes the upcoming  . However, this will not have security implications like ethnic based clashes for the country's democracy. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. Support for the New Patriotic Party and the National Democratic Congress in the Asante and Volta regions is unlikely to change. This is despite the exit of a prominent Asante politician,  , from the governing New Patriotic Party to form a new political party after he lost to the vice-president,  , in the primaries. It is instructive to note that the two major parties are led by candidates from Mole-Dagbanli backgrounds. The ethnic background of politicians has not mattered much in determining electoral outcomes in Ghana, and that is unlikely to change. Beyond the Ashanti and Volta regions, support for the two main political parties over the last few decades have been widely influenced by factors such as the socio-economic conditions of urban populations and party campaign promises. Recent economic policies of the ruling government, such as its   and the   that hit the urban middle class the most, will likely have more of an impact on the urban population's voting decisions.",https://theconversation.com/ghana-elections-ethnicity-is-not-allowed-in-the-countrys-politics-yet-it-still-helps-shape-outcomes-234818
Akufo-Addo Pledges Smooth Transition of Power After 2024 Elections,ghana,"President Nana Addo Dankwa Akufo-Addo has reiterated his dedication to ensuring a smooth transition of power after the upcoming 2024 general elections. At the Ghana Report Summit in Accra, themed 'Combating Misinformation and Disinformation in Election 2024,' President Akufo-Addo called on the media and citizens to remain vigilant ahead of the 2024 elections. He emphasized that Ghana's democratic progress relies on active citizen engagement, a vibrant civil society, and a free press. ""Our democratic journey has been made possible by the active participation of the citizenry. A robust civil society and a free media. These elements reinforce collectively, Ghana's reputation as a stable democratic nation,"" Akufo-Addo said. He further stressed the need to counter misinformation and disinformation, warning that their impact on the electoral outcome is impossible to overstate. ""It is within this context that, we must address the growing challenge of misinformation and disinformation which threatens, and undermines the democratic gains we have made,"" he added. According to Akufo-Addo, the government has begun engaging with stakeholders and plans to launch a national initiative to combat the spread of misinformation and disinformation. "" It is within this context that we must address the growing challenge of misinformation and disinformation which threatens, and undermines the democratic gains we have made,"" President Akufo-Addo said. He added that Ghana's democratic stability is showcased through its seamless transfer of power between political parties. ""The peaceful transition of power is evidenced by the changes in the national political leadership, from the New Patriotic Party (NPP) to the National Democratic Congress (NDC) and back, underscores the maturity of our democratic institutions and the resilience of our electoral process,"" he said.",https://theaccratimes.com/akufo-addo-pledges-smooth-transition-of-power-after-2024-elections/
Elections 2024 - 24-Hour Economy Policy to Revolutionize Ghana's Economic Landscape - Naana Opoku-Agyemang,ghana,"The vice Presidential Candidate of the National Democratic Congress (NDC), Prof. Jane Naana Opoku-Agyemang, has urged manufacturing companies and traders to prepare for the 24-hour economy policy envisioned by the NDC government. Speaking at a durbar of Chiefs at Denkyira Bibianiha in the Upper Denkyira East constituency of the Central Region on July 31, 2024, at the start of her regional campaign tour, she said the 24-hour economy policy is a key component of the agenda by the NDC to rescue and reset the country from the effects of economic mismanagement by the NPP government. ""The NDC will restore hope and rebuild the economy to meet the aspirations of Ghanaians,"" Opoku-Agymang said. She added that while providing benefits to companies through tax waivers, reduced tariff rates, and increased productivity, the job-shift system will create more employment and financial dependence for workers and households. Her remarks on the 24-hour economy were in response to concerns raised by the chief of Denkyira Bibianiha, Nana Appiah Kubi, about the high rate of joblessness and poverty in the area, which has created a hopeless situation for the youth in the area. Opoku-Agyemang, who had interacted with traders at the market in the town, noted that the government must provide the needed support, including credit, to enable small-scale enterprises to grow. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. In addition, she said it was the duty of the government to provide the necessary infrastructure to facilitate the rapid development of areas such as Dunkwa and Denkyira. She reminded the Chiefs that all the major infrastructure projects such as roads, health centers, and schools were provided under the previous NDC governments. She therefore urged them to vote massively for the NDC to continue its good works in the area. ""Vote for us, we have done it before, and you can trust us to do it again for you,"" she said. Chief of Denkyira Bibianiha, Nana Appiah Kubi, in his remarks, assured the NDC of the support of the Chiefs and people of the area. He prayed for success for the NDC in the upcoming elections and requested that the rehabilitation of the health facility in the area be prioritized when the NDC regains power.",https://theaccratimes.com/elections-2024-24-hour-economy-policy-to-revolutionize-ghanas-economic-landscape-naana-opoku-agyemang/
EU Creates €32 Million Fund to Boost Drug and Vaccine Production in Ghana,ghana,"The initiative, know as known as the Special Measure on Manufacturing and Access to Vaccines, Medicines, and Health Technologies in Africa (MAV+), is designed to strengthen Ghana's healthcare sector by improving access to high-quality health products, particularly vaccines. Myriam Ferran, the Deputy Director-General of the  , emphasized the EU's commitment to supporting Ghana's development goals. She noted that the initiative is not only expected to bolster the country's healthcare system but also to stimulate economic growth. ""Through this initiative, the EU will assist   in developing a robust ecosystem capable of producing a skilled workforce, strengthening research and development capabilities, establishing a comprehensive regulatory framework, facilitating technology transfer, and fostering both bilateral and multilateral partnerships for   and pharmaceutical production,"" Ferran explained. To display this content from X (Twitter), you must enable advertisement tracking and audience measurement. Accept Manage my choices Dr Anthony Nsiah-Asare, presidential advisor on health for Ghana, highlighted the government's collaboration with the EU to realize President Nana Akufo-Addo's vision of making Ghana a regional hub for vaccine manufacturing. He said, ""Since 2022, the EU has been actively supporting vaccine production in Ghana at both public and private levels. This crucial initiative aims to ensure that vaccines manufactured in Ghana meet the quality standards necessary for access to regional and global markets."" Additionally, in partnership with the  , the EU has initiated a €3.1 million project to enhance the capacity of   (FDA). This funding is intended to improve the FDA's regulatory and oversight capabilities, ensuring that all pharmaceutical products produced in Ghana meet stringent safety and efficacy standards. The grant will help the FDA enhance its quality control measures, ensuring that vaccines and other pharmaceuticals adhere to international standards. In 2023, the Ghanaian government established the  , supported by a 25 million euro fund. This institute aims to streamline vaccine production and enhance the capacity of local pharmaceutical companies to produce, package, and distribute mRNA vaccines for COVID-19,  , and Tuberculosis. The initiative was spurred by the COVID-19 pandemic and the subsequent vaccine shortages experienced in 2020. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. The EU has also provided a five million euro grant through the European Investment Bank to DEK Vaccines Limited. This funding supports the establishment of a fill-and-finish vaccine manufacturing facility in Ghana. Currently, 99 percent of vaccines used in Africa are imported, with many countries relying heavily on donations. Ghana is no exception to this trend. To display this content from X (Twitter), you must enable advertisement tracking and audience measurement. Accept Manage my choices Professor William Ampofo, Chief Executive Officer of the National Vaccine Institute, expressed optimism that the global initiative would create a conducive   for local vaccine production. ""Ghana has been spending significantly on vaccines. Local production will not only reduce costs but also create jobs and accelerate the country's economic development. There is a pressing need to strengthen public-private partnerships to support the pharmaceutical industry,"" he added.",https://www.rfi.fr/en/africa/20240801-eu-creates-%E2%82%AC32-million-fund-to-boost-drug-and-vaccine-production-in-ghana
President Akufo-Addo Inaugurates Gnpc Operational Headquarters in Takoradi,ghana,"In a landmark event that signifies a monumental step forward for Ghana's oil and gas industry, President Nana Addo Dankwa Akufo-Addo officially commissioned the new Operational Headquarters of the Ghana National Petroleum Corporation (GNPC) on Thursday, 1st August. This event not only celebrates the culmination of a project that began four years ago but also underscores the government's commitment to decentralizing development and ensuring that all regions benefit equitably from the nation's resources. In his address, President Akufo-Addo reflected on the significance of this new facility, describing it as a fulfillment of a promise he made to the chiefs and people of the Western Region during his 2016 presidential campaign. The President emphasized that the establishment of the GNPC headquarters in Takoradi is more than just a fulfillment of a campaign promise; it is a strategic move to bring development closer to the communities that contribute significantly to Ghana's wealth through their land and sea resources. ""This is a very happy day for the Western Region, for Mother Ghana and, indeed, for me personally,"" President Akufo-Addo declared. ""The realization of this promise is proof of my government's determination to ensure that the development and benefits of Ghana's natural resources are felt by the people whose land and sea contribute so significantly to the nation's wealth."" The construction of the state-of-the-art facility faced numerous challenges, including the unprecedented COVID-19 pandemic and various logistical and financial hurdles. Despite these obstacles, the project persevered, thanks to strategic planning and the unwavering support of the people of the Western Region. President Akufo-Addo extended his gratitude to all who played a part in bringing the project to fruition, including the Regional Minister, Hon. Kobby Okyere Darko Mensah, the Western Regional House of Chiefs, and the Regional Lands Commission. ""This new headquarters is strategically positioned to serve as the hub for GNPC's operations, particularly in the Western Region, which remains the epicentre of Ghana's oil and gas industry,"" the President noted. He highlighted the practical benefits of situating this facility in Takoradi, which include enhanced operational efficiency and closer collaboration with domestic stakeholders. The establishment of the headquarters is expected to have a significant economic impact on the local community. President Akufo-Addo outlined the direct and indirect job opportunities that will arise from GNPC's presence, ranging from administrative roles to technical positions. The increased economic activity is also anticipated to stimulate local businesses, contributing to the overall economic growth of the region. Furthermore, President Akufo-Addo lauded the widespread investments made by GNPC through its Foundation, which has been headquartered in Takoradi for the past seven years. He pointed out that the Western Region continues to be a major beneficiary of the Foundation's initiatives in community development and capacity building, including the provision of health, education, and sanitation infrastructure, as well as support for artisan training and other social impact programs. In his address, President Akufo-Addo also underscored the broader vision of transforming GNPC into a world-class national oil company capable of competing on the global stage. The new headquarters, a seven-storey modern office complex with a basement, is equipped with Smart Office Management Systems and various high-technology specifications. It includes a 300-seater auditorium, a gymnasium, a cafeteria, and a business center on the ground floor, and is designed to achieve energy efficiency and meet Leadership in Energy and Environmental Design (LEED) Certification. The President stressed the importance of environmental and social responsibility in the exploitation of petroleum resources. He urged GNPC and other industry stakeholders to continue working collaboratively with local communities, environmental groups, and regulatory bodies to implement best practices that minimize environmental impact. ""We owe it to future generations to manage our resources sustainably,"" he stated, emphasizing the need to balance economic growth with environmental protection. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. Additionally, President Akufo-Addo called for a renewed focus on local content and participation in the oil and gas industry, urging the continued capacity building of local businesses and professionals to ensure they can benefit meaningfully from the sector. As he concluded his speech, President Akufo-Addo expressed his sincere gratitude to the chiefs and people of the Western Region for their support and patience. He congratulated the management and staff of GNPC on this remarkable achievement and officially declared the ""GNPC Energy House"" commissioned. ""May this new headquarters serve as a beacon of excellence, innovation, and progress in Ghana's oil and gas industry,"" President Akufo-Addo said. ""May God bless the Ghana National Petroleum Corporation, and us all, and may God bless our homeland Ghana, and make her great and strong."" The commissioning of the GNPC headquarters marks a significant milestone in Ghana's journey towards harnessing its natural resources for sustainable development and inclusive growth.",https://presidency.gov.gh/index.php/briefing-room/news-style-2/2666-president-akufo-addo-inaugurates-gnpc-operational-headquarters-in-takoradi
PNC's Bernard Mornah Announces Bid for President,ghana,"Bernard Mornah, a former chairman of the People's National Convention (PNC), has launched his campaign, announcing his presidential ambitions as his party readies for its internal elections this month. At a press conference on Wednesday, Mornah stated that his motivation to lead Ghana is inspired by the legacies of late former Presidents Dr. Kwame Nkrumah and Dr. Hilla Liman, whose leadership brought significant changes to the nation. ""My vision is to create a Ghana where everyone, including the youth and women, can realize their full potential. We need a new direction that provides clear hope, an honest and incorruptible leader, and a new Ghana that is law-abiding and inclusive,"" he said, joining in the chorused vision by smaller parties to break the NDC/NPP monopoly. Monarh's party has for some years now, been engulfed in a number of internal disputes. In April, 11 of its national executives resigned to form a new political party called the PNP. But Monarh's party (the PNC) is fighting that recognition as it petitioned the   to withhold the final certificate for the registration of the breakaway group over concerns of similarities.",https://theaccratimes.com/pncs-bernard-mornah-announces-bid-for-president/
2024 General Election - We'd Complete Abandoned Projects Nationwide,ghana,"The Flagbearer of the National Democratic Congress (NDC), John Dramani Mahama says he will complete all abandoned projects across the country before starting new ones after winning the 2024 elections. To that end, he said, the party had commissioned special team that was taking inventory of all abandoned projects and would forward it to the leadership for the necessary action. Additionally, he indicated the NDC's resolve not to tread the path of the current administration as it was committed to completing all ongoing projects in the country. Former Present Mahama said this when he formerly introduced, Prof. Naana Jane Opoku- Agyemang, his running mate in the 2024 presidential elections. The introduction of the running mate who is a native of Komenda in the Komenda-Edina-Eguafo- Abrem (KEEA) Constituency of the Central Region follows the party's national campaign launched held in Tamale. It also served as a platform to ask for the blessings of chiefs and people of the region for the NDC in this year's presidential and parliamentary elections. The NDC, according to the former President, would take up the constitutional amendment review process after winning this year's elections, stating ""we have used this constitution for more than 30 years, this is the time for us to look at it."" Due to the absolute power in the President with respect to appointment, he said, the Constitutional Review Committee for instance recommended 15 as the cap for the Supreme Court. The next NDC administration according to Mr Mahama, would give chiefs some authority in terms of sanitation and environmental protection in the traditional authority because the agencies mandated to do so were unable to do so because they don't really have an attachment to the areas. He noted that, the inspirational journey and achievement of Prof. Opoku-Agyemang, he indicated, show the testament of the values and excellence that the Central Region embodies. He said his running mate was courteous, cultured, scholarly humbled, compassionate and sensitive to the needs of all people, saying ""she is full of wisdom, she is like open book and her integrity is 100 per cent intact."" He indicated that the country was at the crossroads, adding that ""our nation has been driven to the edge of collapsing and said he was happy to be at home."" The NDC, he indicated had not left the Central Region out when in government and said the party left significant additions to the infrastructure of the region. He said during the eight-year of Prof. Mills and Mahama administration, the party constructed the Komenda Sugar Factory that had been recklessly abandoned under the current administration. He gave an assurance that, the next NDC administration would do everything under its power to operationalise the Komenda Sugar factory so that it can provide employment for the youth in the region. The party, he stated build the Elmina Fish Processing Plant, rebuild the Elmina Castle Bridge, Cape Coast Sports Stadium, Kotokuraba Market, establish the Essuershia water treatment plant, connected hundreds of communities to the national electricity grid, constructed new secondary schools and E-Blocks from various parts of the region among others. Prof. Naana Opoku-Agyemang according to former President Mahama, was incorruptible and had sound moral values and said she brought unparalleled dedication to improving the education landscape when she served as a Minister of Education. He said it was under the watch of his running mate that the construction of 124 community day school started with more than 73 of those model E-Blocks completed before the NDC lost the 2016 elections. He said, many of those school blocks had been abandoned and had been overrun by weeds, saying ""I can assure you that we are going to complete all such projects when we assume leadership of the country in 2025."" Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. He stated that the destruction that had been caused by the current administration, required the best people with proven track record and accomplishment to salvage the country. The President of the Central Regional House of Chiefs, Odeefuo Amoakwa Buadu VIII, in his address, stated that, the selection of Prof. Opoku-Agyemang demonstrates the confidence that the former President had in someone from the Central Region for the second time. He expressed the resolve of the chiefs from the Central Region to partner with former President Mahama after winning the 2024 election to advance the development of the region in the area of road construction and employment among others. He expressed concern about the wanton destruction of forest cover as a result of illegal mining activities and called for the empowerment of traditional authorities to curb the menace. Prof. Naana Jane Opoku- Agyemang, in her remarks, called for support from the region for the NDC in the 2024 elections.",https://ghanaiantimes.com.gh/2024-general-election-wed-complete-abandoned-projects-nationwide/
Demand for Dollar to Increase As Importers Prepare for Christmas Festivities,ghana,"Currency dealers are cautioning that the demand for the dollar will rise in August as importers begin placing orders for Christmas goods. Traditionally, the   has depreciated from August through November, a trend exacerbated in the past two years by delays in the cocoa syndicated loan and Ghana's exclusion from the capital market due to its debt distress. As July ends, market watchers are urging the Bank of Ghana and the government to take proactive measures to prevent a rapid depreciation of the cedi. ""During the third quarter, seasonal trends indicate that demand for the greenback will start building up from next month, continuing through the third quarter and into the fourth due to goods being imported for Christmas activities. Therefore, there is no respite for the cedi in sight, at least not this quarter,"" Kodzo Dziwornu Letsa told The Accra Times. Another threat to the Cedi's stability is the rising cost of fuel on the international market. Ghana's oil imports increased from $422.6 million in May 2024 to $428.3 million in June 2024, placing significant strain on the cedi and potentially undermining recent economic gains. The bid/offer ratio is currently around GH¢15.67/ GH¢15.77, indicating a 1.48% decline in the cedi's value relative to the US dollar. The spike in oil imports has led to increased demand for foreign exchange, further pressuring the cedi. In response, the Bank of Ghana sold $40 million to oil importers through the Bulk Distribution Companies (BDCs) forex auction. To prevent a free fall of the cedi typically seen during this period, the Central Bank will need to sustain its interventions and act earlier. Although the country's Gross International Reserve has increased from 2.9 months of import cover in May to 3.1 months in June, this offers limited comfort for the government to intervene regularly in the market. Other analysts suggest that the government may need to seek additional dollar inflows from Afrexim Bank or expedite the process to secure the cocoa syndicated loan by its traditional month of September, rather than November or December as has been the case in recent years.",https://theaccratimes.com/demand-for-dollar-to-increase-as-importers-prepare-for-christmas-festivities/
Lawyer Sues Police Service Over Appointment of Deputy IGP,ghana,"Private legal practitioner and lecturer at the UPAS Law School, Justice Abdulai has sued the Attorney-General and the Ghana Service over President Nana Akufo-Addo's recent appointment of a deputy Inspector General of Police (IGP). Abdulai argues that the creation of a deputy IGP position is unconstitutional and is asking that the Court declare it as such. ""A further declaration that on a true and proper interpretation of Articles 202 (1), 202(2), 202 (3), of the 1992 Constitution; Section 3 of the Police Service Act 1970 (Act 350), and Regulations 6(1), 6(2), 6(3), and 6(4) of the Police Service Regulations 2012, (C.I. 76), the Appointment of Commissioner of Police, COP, Mr. Christian Yohuno, as Deputy Inspector General of Police, in charge of operations by the President of the Republic of Ghana, is unconstitutional null and void,"" he said in a filing dated July 30, 2024. He also wants the Court to make orders restraining the Deputy IGP from acting in his new role. The hearing of the case is not immediately known.",https://theaccratimes.com/lawyer-sues-police-service-over-appointment-of-deputy-igp/
"Attorney-General Says Court Decision Acquitting Ato Forson 'Unfair', Vows to Appeal",ghana,"The Attorney-General Godfred Dame says the Court of Appeal decision to acquit and discharge Minority leader Ato Forson and co-accused Richard Jakpa in the ambulance purchase trial is regrettable. Reacting to the ruling of the Court which was delivered today, Dame said his Office finds it ""grossly unfair"" and plans to appeal the decision. ""The Office of the Attorney General considers the decision of the Court of Appeal to be perverse in the quest for public accountability and the rule of law. The decision clearly is heavily against the weight of the court's evidence led by the prosecution in substantiation of all the charges against the accused persons at the trial,"" Dame wrote in a statement. The prosecution of Ato Forson had been one of the prioritized cases handled by the AG himself, and it has also been one of the cases that caused his reputation to be put in question. Dame had previously been accused of witness tampering when Richard Jakpa revealed in court he had tried to use him to   Ato Forson. Dr. Forson's party, the National Democratic Congress (NDC), had said the prosecution was politically motivated, and at some point demanded his dismissal as Attorney-General.",https://theaccratimes.com/attorney-general-says-court-decision-acquitting-ato-forson-unfair-vows-to-appeal/
